                 Decay                   Y(i)      E(i)     Delta(i)
Nuclide  T1/2    Mode       Auger Line  (/nt)      (MeV)    Gy kg/nt
--------------------------------------------------------------------
                            Auger LXY  1.54E-02  6.593E-03  1.63E-17
                            CK MMX     6.62E-01  1.689E-04  1.79E-17
                            Auger MNN  1.42E+00  8.038E-04  1.83E-16
                            Auger MNX  9.08E-02  9.740E-04  1.42E-17
                            Auger MXY  2.63E-03  1.160E-03  4.89E-19
                            CK NNX     4.14E+00  1.067E-04  7.08E-17
                            Auger NXY  6.34E-01  9.430E-05  9.57E-18
                            CK OOX     7.75E-01  1.510E-05  1.87E-18
                            Auger OXY  6.17E-03  3.756E-05  3.71E-20
                                                      Total 1.19E-15
Eu-147  24.1 d EC B- A      Auger KLL  5.03E-02  3.252E-02  2.62E-16
                            Auger KLX  2.45E-02  3.844E-02  1.51E-16
                            Auger KXY  2.86E-03  4.437E-02  2.03E-17
                            CK LLX     1.71E-01  5.080E-04  1.39E-17
                            Auger LMM  6.93E-01  4.459E-03  4.95E-16
                            Auger LMX  2.37E-01  5.509E-03  2.09E-16
                            Auger LXY  2.02E-02  6.592E-03  2.13E-17
                            CK MMX     8.67E-01  1.690E-04  2.35E-17
                            Auger MNN  1.86E+00  8.038E-04  2.40E-16
                            Auger MNX  1.19E-01  9.738E-04  1.86E-17
                            Auger MXY  3.45E-03  1.160E-03  6.42E-19
                            CK NNX     5.43E+00  1.067E-04  9.28E-17
                            Auger NXY  8.31E-01  9.426E-05  1.26E-17
                            CK OOX     1.02E+00  1.510E-05  2.46E-18
                            Auger OXY  8.09E-03  3.756E-05  4.87E-20
                                                      Total 1.56E-15
Eu-152  13.537 y EC B- B+   Auger KLL  3.65E-02  3.252E-02  1.90E-16
                            Auger KLX  1.78E-02  3.844E-02  1.10E-16
                            Auger KXY  2.08E-03  4.437E-02  1.48E-17
                            CK LLX     1.31E-01  5.043E-04  1.06E-17
                            Auger LMM  5.49E-01  4.460E-03  3.92E-16
                            Auger LMX  1.88E-01  5.510E-03  1.66E-16
                            Auger LXY  1.60E-02  6.593E-03  1.69E-17
                            CK MMX     6.87E-01  1.693E-04  1.86E-17
                            Auger MNN  1.48E+00  8.038E-04  1.90E-16
                            Auger MNX  9.46E-02  9.738E-04  1.48E-17
                            Auger MXY  2.74E-03  1.160E-03  5.09E-19
                            CK NNX     4.30E+00  1.067E-04  7.36E-17
                            Auger NXY  6.61E-01  9.418E-05  9.97E-18
                            CK OOX     8.05E-01  1.510E-05  1.95E-18
                            Auger OXY  6.41E-03  3.756E-05  3.86E-20
                            Auger KLL  3.94E-04  3.474E-02  2.19E-18
                            Auger KLX  1.95E-04  4.115E-02  1.29E-18
                            Auger KXY  2.31E-05  4.756E-02  1.76E-19
                            CK LLX     1.38E-03  5.634E-04  1.25E-19
                            Auger LMM  6.00E-03  4.771E-03  4.59E-18
                            Auger LMX  2.10E-03  5.926E-03  2.00E-18
                            Auger LXY  1.83E-04  7.115E-03  2.08E-19
                            CK MMX     7.47E-03  1.828E-04  2.19E-19
                            Auger MNN  1.63E-02  8.977E-04  2.35E-18
                            Auger MNX  1.11E-03  1.075E-03  1.91E-19
                            Auger MXY  3.57E-05  1.276E-03  7.29E-21
                            CK NNX     4.82E-02  1.134E-04  8.75E-19
                            Auger NXY  3.97E-03  1.231E-04  7.84E-20
                            CK OOX     7.19E-03  1.686E-05  1.94E-20
                            Auger OXY  5.66E-05  4.324E-05  3.92E-22
                                                      Total 1.22E-15
Eu-152m 9.3116 h EC B- B+   Auger KLL  4.90E-05  3.474E-02  2.73E-19
                            Auger KLX  2.43E-05  4.115E-02  1.60E-19
                            Auger KXY  2.88E-06  4.756E-02  2.19E-20
                            CK LLX     1.76E-04  5.623E-04  1.59E-20
                            Auger LMM  7.74E-04  4.771E-03  5.92E-19
                            Auger LMX  2.72E-04  5.926E-03  2.58E-19
                            Auger LXY  2.36E-05  7.115E-03  2.69E-20
                            CK MMX     9.64E-04  1.829E-04  2.83E-20
                            Auger MNN  2.11E-03  8.977E-04  3.04E-19
                            Auger MNX  1.43E-04  1.075E-03  2.47E-20
                            Auger MXY  4.61E-06  1.276E-03  9.42E-22
                            CK NNX     6.22E-03  1.134E-04  1.13E-19
                            Auger NXY  5.13E-04  1.231E-04  1.01E-20
                            CK OOX     9.27E-04  1.686E-05  2.51E-21
                            Auger OXY  7.30E-06  4.324E-05  5.06E-23
                            Auger KLL  1.29E-02  3.252E-02  6.73E-17
                            Auger KLX  6.30E-03  3.844E-02  3.88E-17
                            Auger KXY  7.36E-04  4.437E-02  5.23E-18
                            CK LLX     4.48E-02  5.050E-04  3.62E-18
                            Auger LMM  1.87E-01  4.459E-03  1.34E-16
                            Auger LMX  6.40E-02  5.508E-03  5.65E-17
                            Auger LXY  5.46E-03  6.592E-03  5.76E-18
                            CK MMX     2.34E-01  1.692E-04  6.34E-18
                            Auger MNN  5.04E-01  8.038E-04  6.48E-17
                            Auger MNX  3.22E-02  9.737E-04  5.03E-18
                            Auger MXY  9.33E-04  1.160E-03  1.73E-19
                            CK NNX     1.47E+00  1.067E-04  2.51E-17
                            Auger NXY  2.25E-01  9.418E-05  3.39E-18
                            CK OOX     2.74E-01  1.510E-05  6.63E-19
                            Auger OXY  2.18E-03  3.756E-05  1.31E-20
                                                      Total 4.18E-16
Eu-154  8.593 y EC B+       Auger KLL  1.15E-02  3.474E-02  6.40E-17
                            Auger KLX  5.69E-03  4.115E-02  3.75E-17
                            Auger KXY  6.75E-04  4.756E-02  5.14E-18
                            CK LLX     4.64E-02  5.439E-04  4.05E-18
                            Auger LMM  2.42E-01  4.770E-03  1.85E-16
                            Auger LMX  8.47E-02  5.924E-03  8.04E-17
                            Auger LXY  7.36E-03  7.112E-03  8.38E-18
                            CK MMX     2.99E-01  1.839E-04  8.81E-18
                            Auger MNN  6.63E-01  8.977E-04  9.54E-17
                            Auger MNX  4.49E-02  1.074E-03  7.73E-18
                            Auger MXY  1.44E-03  1.275E-03  2.95E-19
                            CK NNX     1.94E+00  1.135E-04  3.52E-17
                            Auger NXY  1.61E-01  1.224E-04  3.15E-18
                            CK OOX     2.88E-01  1.686E-05  7.78E-19
                            Auger OXY  2.27E-03  4.324E-05  1.57E-20
                            Auger KLL  1.11E-05  3.252E-02  5.76E-20
                            Auger KLX  5.39E-06  3.844E-02  3.32E-20
                            Auger KXY  6.29E-07  4.437E-02  4.47E-21
                            CK LLX     4.21E-05  4.955E-04  3.34E-21
                            Auger LMM  1.93E-04  4.457E-03  1.38E-19
                            Auger LMX  6.59E-05  5.506E-03  5.81E-20
                            Auger LXY  5.62E-06  6.589E-03  5.93E-21
                            CK MMX     2.40E-04  1.697E-04  6.52E-21
                            Auger MNN  5.21E-04  8.037E-04  6.70E-20
                            Auger MNX  3.33E-05  9.732E-04  5.19E-21
                            Auger MXY  9.63E-07  1.159E-03  1.79E-22
                            CK NNX     1.51E-03  1.068E-04  2.58E-20
                            Auger NXY  2.32E-04  9.396E-05  3.49E-21
                            CK OOX     2.82E-04  1.510E-05  6.81E-22
                            Auger OXY  2.24E-06  3.756E-05  1.35E-23
                                                      Total 5.36E-16
Gd-147  38.1 h EC B-        Auger KLL  4.37E-02  3.362E-02  2.36E-16
                            Auger KLX  2.15E-02  3.979E-02  1.37E-16
                            Auger KXY  2.53E-03  4.595E-02  1.86E-17
                            CK LLX     1.60E-01  5.450E-04  1.39E-17
                            Auger LMM  6.16E-01  4.622E-03  4.56E-16
                            Auger LMX  2.12E-01  5.723E-03  1.95E-16
                            Auger LXY  1.83E-02  6.859E-03  2.01E-17
                            CK MMX     7.82E-01  1.792E-04  2.24E-17
                            Auger MNN  1.67E+00  8.541E-04  2.29E-16
                            Auger MNX  1.03E-01  1.027E-03  1.69E-17
                            Auger MXY  3.38E-03  1.214E-03  6.56E-19
                            CK NNX     4.90E+00  1.130E-04  8.88E-17
                            Auger NXY  5.51E-01  1.053E-04  9.29E-18
                            CK OOX     8.05E-01  1.584E-05  2.04E-18
                            Auger OXY  6.37E-03  3.889E-05  3.97E-20
                                                      Total 1.44E-15
Gd-149  9.28 d EC B-        Auger KLL  5.02E-02  3.362E-02  2.71E-16
                            Auger KLX  2.46E-02  3.979E-02  1.57E-16
                            Auger KXY  2.90E-03  4.595E-02  2.13E-17
                            CK LLX     1.82E-01  5.447E-04  1.59E-17
                            Auger LMM  7.08E-01  4.621E-03  5.24E-16
                            Auger LMX  2.44E-01  5.723E-03  2.23E-16
                            Auger LXY  2.10E-02  6.859E-03  2.31E-17
                            CK MMX     8.96E-01  1.793E-04  2.57E-17
                            Auger MNN  1.92E+00  8.541E-04  2.63E-16
                            Auger MNX  1.18E-01  1.027E-03  1.94E-17
                            Auger MXY  3.87E-03  1.214E-03  7.53E-19
                            CK NNX     5.62E+00  1.130E-04  1.02E-16
                            Auger NXY  6.32E-01  1.052E-04  1.07E-17
                            CK OOX     9.23E-01  1.584E-05  2.34E-18
                            Auger OXY  7.31E-03  3.889E-05  4.56E-20
                                                      Total 1.66E-15
Gd-153  240.4 d EC          Auger KLL  5.74E-02  3.362E-02  3.09E-16
                            Auger KLX  2.82E-02  3.979E-02  1.80E-16
                            Auger KXY  3.31E-03  4.595E-02  2.44E-17
                            CK LLX     2.13E-01  5.452E-04  1.86E-17
                            Auger LMM  8.19E-01  4.622E-03  6.07E-16
                            Auger LMX  2.82E-01  5.724E-03  2.59E-16
                            Auger LXY  2.44E-02  6.860E-03  2.68E-17
                            CK MMX     1.04E+00  1.793E-04  2.99E-17
                            Auger MNN  2.22E+00  8.541E-04  3.04E-16
                            Auger MNX  1.37E-01  1.027E-03  2.25E-17
                            Auger MXY  4.49E-03  1.214E-03  8.73E-19
                            CK NNX     6.52E+00  1.130E-04  1.18E-16
                            Auger NXY  7.33E-01  1.053E-04  1.24E-17
                            CK OOX     1.07E+00  1.584E-05  2.72E-18
                            Auger OXY  8.48E-03  3.889E-05  5.28E-20
                                                      Total 1.92E-15
Tb-146  23 s EC B-          Auger KLL  9.85E-03  3.474E-02  5.48E-17
                            Auger KLX  4.88E-03  4.115E-02  3.22E-17
                            Auger KXY  5.79E-04  4.756E-02  4.41E-18
                            CK LLX     3.57E-02  5.726E-04  3.28E-18
                            Auger LMM  1.40E-01  4.772E-03  1.07E-16
                            Auger LMX  4.93E-02  5.928E-03  4.68E-17
                            Auger LXY  4.28E-03  7.118E-03  4.88E-18
                            CK MMX     1.77E-01  1.823E-04  5.17E-18
                            Auger MNN  3.82E-01  8.979E-04  5.50E-17
                            Auger MNX  2.59E-02  1.076E-03  4.47E-18
                            Auger MXY  8.36E-04  1.277E-03  1.71E-19
                            CK NNX     1.13E+00  1.134E-04  2.06E-17
                            Auger NXY  9.32E-02  1.237E-04  1.85E-18
                            CK OOX     1.69E-01  1.686E-05  4.58E-19
                            Auger OXY  1.33E-03  4.324E-05  9.24E-21
                                                      Total 3.41E-16
Tb-149  4.118 h EC B- A     Auger KLL  3.20E-02  3.474E-02  1.78E-16
                            Auger KLX  1.59E-02  4.115E-02  1.05E-16
                            Auger KXY  1.88E-03  4.756E-02  1.43E-17
                            CK LLX     1.18E-01  5.722E-04  1.09E-17
                            Auger LMM  4.65E-01  4.773E-03  3.56E-16
                            Auger LMX  1.63E-01  5.929E-03  1.55E-16
                            Auger LXY  1.42E-02  7.120E-03  1.62E-17
                            CK MMX     5.87E-01  1.824E-04  1.72E-17
                            Auger MNN  1.27E+00  8.980E-04  1.82E-16
                            Auger MNX  8.60E-02  1.076E-03  1.48E-17
                            Auger MXY  2.77E-03  1.277E-03  5.67E-19
                            CK NNX     3.76E+00  1.134E-04  6.83E-17
                            Auger NXY  3.09E-01  1.236E-04  6.13E-18
                            CK OOX     5.62E-01  1.686E-05  1.52E-18
                            Auger OXY  4.42E-03  4.324E-05  3.06E-20
                            Auger KLL  1.23E-07  3.362E-02  6.61E-22
                            Auger KLX  6.02E-08  3.979E-02  3.84E-22
                            Auger KXY  7.08E-09  4.595E-02  5.22E-23
                            CK LLX     4.10E-07  5.410E-04  3.56E-23
                            Auger LMM  1.69E-06  4.616E-03  1.25E-21
                            Auger LMX  5.83E-07  5.717E-03  5.34E-22
                            Auger LXY  5.03E-08  6.852E-03  5.52E-23
                            CK MMX     2.12E-06  1.792E-04  6.07E-23
                            Auger MNN  4.58E-06  8.538E-04  6.27E-22
                            Auger MNX  2.82E-07  1.026E-03  4.64E-23
                            Auger MXY  9.24E-09  1.213E-03  1.80E-24
                            CK NNX     1.34E-05  1.130E-04  2.42E-22
                            Auger NXY  1.50E-06  1.050E-04  2.53E-23
                            CK OOX     2.19E-06  1.584E-05  5.57E-24
                            Auger OXY  1.74E-08  3.889E-05  1.08E-25
                                                      Total 1.13E-15
Tb-152  17.5 h EC B-        Auger KLL  3.02E-02  3.474E-02  1.68E-16
                            Auger KLX  1.50E-02  4.115E-02  9.86E-17
                            Auger KXY  1.77E-03  4.756E-02  1.35E-17
                            CK LLX     1.11E-01  5.729E-04  1.02E-17
                            Auger LMM  4.34E-01  4.773E-03  3.32E-16
                            Auger LMX  1.52E-01  5.929E-03  1.45E-16
                            Auger LXY  1.32E-02  7.120E-03  1.51E-17
                            CK MMX     5.48E-01  1.823E-04  1.60E-17
                            Auger MNN  1.18E+00  8.980E-04  1.70E-16
                            Auger MNX  8.02E-02  1.076E-03  1.38E-17
                            Auger MXY  2.58E-03  1.277E-03  5.29E-19
                            CK NNX     3.51E+00  1.134E-04  6.37E-17
                            Auger NXY  2.88E-01  1.237E-04  5.71E-18
                            CK OOX     5.24E-01  1.686E-05  1.42E-18
                            Auger OXY  4.12E-03  4.324E-05  2.86E-20
                                                      Total 1.05E-15
Tb-157  71 y EC             Auger KLL  4.65E-03  3.474E-02  2.59E-17
                            Auger KLX  2.30E-03  4.115E-02  1.52E-17
                            Auger KXY  2.73E-04  4.756E-02  2.08E-18
                            CK LLX     3.78E-01  6.114E-04  3.70E-17
                            Auger LMM  4.42E-01  4.984E-03  3.53E-16
                            Auger LMX  1.57E-01  6.164E-03  1.55E-16
                            Auger LXY  1.39E-02  7.390E-03  1.65E-17
                            CK MMX     8.27E-01  1.842E-04  2.44E-17
                            Auger MNN  1.26E+00  9.080E-04  1.83E-16
                            Auger MNX  8.78E-02  1.100E-03  1.55E-17
                            Auger MXY  2.89E-03  1.309E-03  6.06E-19
                            CK NNX     4.38E+00  1.129E-04  7.92E-17
                            Auger NXY  3.67E-01  1.322E-04  7.77E-18
                            CK OOX     6.82E-01  1.686E-05  1.84E-18
                            Auger OXY  5.37E-03  4.324E-05  3.72E-20
                                                      Total 9.16E-16
Dy-157  8.14 h EC           Auger KLL  3.60E-02  3.589E-02  2.07E-16
                            Auger KLX  1.79E-02  4.255E-02  1.22E-16
                            Auger KXY  2.13E-03  4.921E-02  1.68E-17
                            CK LLX     1.41E-01  6.202E-04  1.40E-17
                            Auger LMM  5.35E-01  4.953E-03  4.24E-16
                            Auger LMX  1.87E-01  6.160E-03  1.84E-16
                            Auger LXY  1.64E-02  7.402E-03  1.95E-17
                            CK MMX     6.92E-01  1.973E-04  2.19E-17
                            Auger MNN  1.48E+00  9.610E-04  2.28E-16
                            Auger MNX  8.41E-02  1.136E-03  1.53E-17
                            Auger MXY  3.46E-03  1.325E-03  7.35E-19
                            CK NNX     4.37E+00  1.220E-04  8.54E-17
                            Auger NXY  2.69E-01  1.356E-04  5.84E-18
                            CK OOX     5.69E-01  1.737E-05  1.59E-18
                            Auger OXY  4.46E-03  4.159E-05  2.97E-20
                                                      Total 1.35E-15
Dy-159  144.4 d EC          Auger KLL  4.02E-02  3.589E-02  2.31E-16
                            Auger KLX  2.00E-02  4.255E-02  1.36E-16
                            Auger KXY  2.38E-03  4.921E-02  1.88E-17
                            CK LLX     1.72E-01  6.231E-04  1.71E-17
                            Auger LMM  6.14E-01  4.959E-03  4.88E-16
                            Auger LMX  2.15E-01  6.167E-03  2.12E-16
                            Auger LXY  1.89E-02  7.411E-03  2.24E-17
                            CK MMX     8.05E-01  1.975E-04  2.55E-17
                            Auger MNN  1.70E+00  9.612E-04  2.62E-16
                            Auger MNX  9.68E-02  1.137E-03  1.76E-17
                            Auger MXY  3.98E-03  1.326E-03  8.46E-19
                            CK NNX     5.05E+00  1.220E-04  9.86E-17
                            Auger NXY  3.11E-01  1.359E-04  6.77E-18
                            CK OOX     6.59E-01  1.737E-05  1.83E-18
                            Auger OXY  5.16E-03  4.159E-05  3.44E-20
                                                      Total 1.54E-15
Dy-165  2.334 h B+          Auger KLL  3.74E-03  3.825E-02  2.29E-17
                            Auger KLX  1.88E-03  4.542E-02  1.37E-17
                            Auger KXY  2.27E-04  5.260E-02  1.91E-18
                            CK LLX     1.50E-02  7.021E-04  1.69E-18
                            Auger LMM  5.80E-02  5.297E-03  4.93E-17
                            Auger LMX  2.06E-02  6.616E-03  2.18E-17
                            Auger LXY  1.84E-03  7.968E-03  2.34E-18
                            CK MMX     7.50E-02  2.218E-04  2.67E-18
                            Auger MNN  1.64E-01  1.074E-03  2.82E-17
                            Auger MNX  8.52E-03  1.250E-03  1.71E-18
                            Auger MXY  4.33E-04  1.440E-03  9.98E-20
                            CK NNX     4.58E-01  1.349E-04  9.89E-18
                            Auger NXY  1.87E-02  1.775E-04  5.31E-19
                            CK OOX     5.21E-02  1.897E-05  1.58E-19
                            Auger OXY  4.03E-04  4.435E-05  2.87E-21
                                                      Total 1.57E-16
Dy-166  81.6 h B+           Auger KLL  2.04E-02  3.825E-02  1.25E-16
                            Auger KLX  1.03E-02  4.542E-02  7.48E-17
                            Auger KXY  1.24E-03  5.260E-02  1.05E-17
                            CK LLX     1.81E-01  7.121E-04  2.07E-17
                            Auger LMM  5.14E-01  5.345E-03  4.40E-16
                            Auger LMX  1.82E-01  6.669E-03  1.95E-16
                            Auger LXY  1.63E-02  8.028E-03  2.10E-17
                            CK MMX     7.09E-01  2.235E-04  2.54E-17
                            Auger MNN  1.46E+00  1.076E-03  2.52E-16
                            Auger MNX  7.63E-02  1.255E-03  1.53E-17
                            Auger MXY  3.88E-03  1.445E-03  8.98E-19
                            CK NNX     4.19E+00  1.347E-04  9.05E-17
                            Auger NXY  1.73E-01  1.798E-04  4.99E-18
                            CK OOX     4.82E-01  1.897E-05  1.46E-18
                            Auger OXY  3.73E-03  4.435E-05  2.65E-20
                                                      Total 1.28E-15
Ho-166  26.8 h B+           Auger KLL  3.94E-03  3.947E-02  2.49E-17
                            Auger KLX  1.99E-03  4.690E-02  1.50E-17
                            Auger KXY  2.42E-04  5.435E-02  2.11E-18
                            CK LLX     3.26E-02  7.060E-04  3.69E-18
                            Auger LMM  2.02E-01  5.482E-03  1.78E-16
                            Auger LMX  7.21E-02  6.855E-03  7.92E-17
                            Auger LXY  6.50E-03  8.260E-03  8.60E-18
                            CK MMX     2.63E-01  2.370E-04  9.97E-18
                            Auger MNN  5.90E-01  1.134E-03  1.07E-16
                            Auger MNX  2.93E-02  1.309E-03  6.14E-18
                            Auger MXY  1.63E-03  1.498E-03  3.92E-19
                            CK NNX     1.56E+00  1.416E-04  3.54E-17
                            Auger NXY  5.51E-02  1.977E-04  1.75E-18
                            CK OOX     1.66E-01  1.982E-05  5.27E-19
                            Auger OXY  1.27E-03  4.577E-05  9.35E-21
                                                      Total 4.73E-16
Er-165  10.36 h EC          Auger KLL  2.98E-02  3.825E-02  1.83E-16
                            Auger KLX  1.50E-02  4.542E-02  1.09E-16
                            Auger KXY  1.81E-03  5.260E-02  1.52E-17
                            CK LLX     1.40E-01  7.083E-04  1.59E-17
                            Auger LMM  4.74E-01  5.309E-03  4.04E-16
                            Auger LMX  1.68E-01  6.629E-03  1.79E-16
                            Auger LXY  1.50E-02  7.984E-03  1.92E-17
                            CK MMX     6.30E-01  2.221E-04  2.24E-17
                            Auger MNN  1.34E+00  1.075E-03  2.31E-16
                            Auger MNX  6.99E-02  1.252E-03  1.40E-17
                            Auger MXY  3.55E-03  1.442E-03  8.21E-19
                            CK NNX     3.79E+00  1.348E-04  8.19E-17
                            Auger NXY  1.55E-01  1.788E-04  4.45E-18
                            CK OOX     4.34E-01  1.897E-05  1.32E-18
                            Auger OXY  3.36E-03  4.435E-05  2.39E-20
                                                      Total 1.28E-15
Er-167m 2.269 s IT          Auger KLL  7.09E-03  3.947E-02  4.48E-17
                            Auger KLX  3.59E-03  4.690E-02  2.69E-17
                            Auger KXY  4.35E-04  5.435E-02  3.79E-18
                            CK LLX     5.24E-02  7.151E-04  6.00E-18
                            Auger LMM  2.57E-01  5.530E-03  2.27E-16
                            Auger LMX  9.16E-02  6.907E-03  1.01E-16
                            Auger LXY  8.27E-03  8.316E-03  1.10E-17
                            CK MMX     3.42E-01  2.394E-04  1.31E-17
                            Auger MNN  7.49E-01  1.136E-03  1.36E-16
                            Auger MNX  3.72E-02  1.312E-03  7.82E-18
                            Auger MXY  2.07E-03  1.500E-03  4.98E-19
                            CK NNX     2.01E+00  1.415E-04  4.55E-17
                            Auger NXY  7.18E-02  1.987E-04  2.29E-18
                            CK OOX     2.14E-01  1.982E-05  6.80E-19
                            Auger OXY  1.64E-03  4.577E-05  1.21E-20
                                                      Total 6.28E-16
Er-169  9.4 d B+            Auger KLL  9.20E-07  4.070E-02  6.00E-21
                            Auger KLX  4.68E-07  4.841E-02  3.63E-21
                            Auger KXY  5.72E-08  5.613E-02  5.14E-22
                            CK LLX     3.39E-06  8.330E-04  4.53E-22
                            Auger LMM  1.54E-05  5.641E-03  1.39E-20
                            Auger LMX  5.51E-06  7.075E-03  6.25E-21
                            Auger LXY  5.01E-07  8.540E-03  6.85E-22
                            CK MMX     4.23E-01  2.675E-04  1.81E-17
                            Auger MNN  3.27E-01  1.253E-03  6.56E-17
                            Auger MNX  1.92E-02  1.499E-03  4.61E-18
                            Auger MXY  1.24E-03  1.703E-03  3.39E-19
                            CK NNX     1.20E+00  1.464E-04  2.81E-17
                            Auger NXY  4.58E-02  2.550E-04  1.87E-18
                            CK OOX     1.43E-01  2.068E-05  4.75E-19
                            Auger OXY  1.08E-03  4.720E-05  8.20E-21
                                                      Total 1.19E-16
Er-171  7.516 h B+          Auger KLL  1.68E-02  4.070E-02  1.09E-16
                            Auger KLX  8.53E-03  4.841E-02  6.62E-17
                            Auger KXY  1.04E-03  5.613E-02  9.37E-18
                            CK LLX     9.01E-02  8.446E-04  1.22E-17
                            Auger LMM  3.39E-01  5.668E-03  3.08E-16
                            Auger LMX  1.22E-01  7.104E-03  1.39E-16
                            Auger LXY  1.11E-02  8.573E-03  1.52E-17
                            CK MMX     1.30E+00  2.610E-04  5.42E-17
                            Auger MNN  1.66E+00  1.218E-03  3.24E-16
                            Auger MNX  8.63E-02  1.427E-03  1.97E-17
                            Auger MXY  5.42E-03  1.626E-03  1.41E-18
                            CK NNX     5.02E+00  1.472E-04  1.19E-16
                            Auger NXY  1.76E-01  2.403E-04  6.77E-18
                            CK OOX     5.58E-01  2.068E-05  1.85E-18
                            Auger OXY  4.22E-03  4.720E-05  3.19E-20
                                                      Total 1.19E-15
Tm-167  9.25 d EC           Auger KLL  3.60E-02  3.947E-02  2.28E-16
                            Auger KLX  1.82E-02  4.690E-02  1.37E-16
                            Auger KXY  2.21E-03  5.435E-02  1.93E-17
                            CK LLX     2.40E-01  7.473E-04  2.88E-17
                            Auger LMM  8.30E-01  5.514E-03  7.33E-16
                            Auger LMX  2.96E-01  6.893E-03  3.27E-16
                            Auger LXY  2.67E-02  8.305E-03  3.56E-17
                            CK MMX     1.13E+00  2.369E-04  4.29E-17
                            Auger MNN  2.39E+00  1.135E-03  4.35E-16
                            Auger MNX  1.19E-01  1.313E-03  2.51E-17
                            Auger MXY  6.66E-03  1.502E-03  1.60E-18
                            CK NNX     6.53E+00  1.415E-04  1.48E-16
                            Auger NXY  2.34E-01  2.017E-04  7.57E-18
                            CK OOX     7.08E-01  1.982E-05  2.25E-18
                            Auger OXY  5.44E-03  4.577E-05  3.99E-20
                                                      Total 2.17E-15
Tm-170  128.6 d EC B+       Auger KLL  1.13E-03  4.196E-02  7.62E-18
                            Auger KLX  5.79E-04  4.995E-02  4.64E-18
                            Auger KXY  7.12E-05  5.795E-02  6.61E-19
                            CK LLX     9.81E-03  8.183E-04  1.29E-18
                            Auger LMM  6.66E-02  5.849E-03  6.24E-17
                            Auger LMX  2.40E-02  7.340E-03  2.82E-17
                            Auger LXY  2.20E-03  8.861E-03  3.13E-18
                            CK MMX     8.66E-02  2.646E-04  3.67E-18
                            Auger MNN  2.00E-01  1.259E-03  4.04E-17
                            Auger MNX  9.07E-03  1.432E-03  2.08E-18
                            Auger MXY  6.05E-04  1.621E-03  1.57E-19
                            CK NNX     4.93E-01  1.548E-04  1.22E-17
                            Auger NXY  1.49E-02  2.432E-04  5.79E-19
                            CK OOX     1.18E-01  9.318E-06  1.76E-19
                            Auger OXY  1.68E-01  1.886E-05  5.07E-19
                            Auger KLL  3.85E-05  3.947E-02  2.44E-19
                            Auger KLX  1.95E-05  4.690E-02  1.46E-19
                            Auger KXY  2.37E-06  5.435E-02  2.06E-20
                            CK LLX     2.10E-04  7.517E-04  2.53E-20
                            Auger LMM  7.23E-04  5.492E-03  6.36E-19
                            Auger LMX  2.58E-04  6.870E-03  2.84E-19
                            Auger LXY  2.33E-05  8.282E-03  3.09E-20
                            CK MMX     9.77E-04  2.354E-04  3.69E-20
                            Auger MNN  2.08E-03  1.135E-03  3.78E-19
                            Auger MNX  1.03E-04  1.312E-03  2.17E-20
                            Auger MXY  5.78E-06  1.502E-03  1.39E-21
                            CK NNX     5.66E-03  1.415E-04  1.28E-19
                            Auger NXY  2.02E-04  2.021E-04  6.55E-21
                            CK OOX     6.15E-04  1.982E-05  1.95E-21
                            Auger OXY  4.72E-06  4.577E-05  3.46E-23
                                                      Total 1.70E-16
Tm-171  1.92 y B+           Auger KLL  3.23E-04  4.196E-02  2.17E-18
                            Auger KLX  1.65E-04  4.995E-02  1.32E-18
                            Auger KXY  2.03E-05  5.795E-02  1.89E-19
                            CK LLX     1.42E-03  8.578E-04  1.95E-19
                            Auger LMM  8.12E-03  5.822E-03  7.57E-18
                            Auger LMX  2.93E-03  7.313E-03  3.43E-18
                            Auger LXY  2.68E-04  8.835E-03  3.80E-19
                            CK MMX     1.05E-02  2.623E-04  4.42E-19
                            Auger MNN  2.45E-02  1.257E-03  4.93E-18
                            Auger MNX  1.10E-03  1.430E-03  2.53E-19
                            Auger MXY  7.36E-05  1.620E-03  1.91E-20
                            CK NNX     6.02E-02  1.548E-04  1.49E-18
                            Auger NXY  1.81E-03  2.447E-04  7.11E-20
                            CK OOX     1.45E-02  9.376E-06  2.18E-20
                            Auger OXY  2.06E-02  1.886E-05  6.21E-20
                                                      Total 2.26E-17
Yb-169  32.026 d EC         Auger KLL  7.50E-02  4.070E-02  4.89E-16
                            Auger KLX  3.82E-02  4.841E-02  2.96E-16
                            Auger KXY  4.66E-03  5.613E-02  4.19E-17
                            CK LLX     3.47E-01  8.382E-04  4.65E-17
                            Auger LMM  1.45E+00  5.653E-03  1.31E-15
                            Auger LMX  5.19E-01  7.088E-03  5.89E-16
                            Auger LXY  4.72E-02  8.554E-03  6.47E-17
                            CK MMX     2.81E+00  2.545E-04  1.15E-16
                            Auger MNN  4.95E+00  1.203E-03  9.53E-16
                            Auger MNX  2.42E-01  1.392E-03  5.40E-17
                            Auger MXY  1.50E-02  1.585E-03  3.80E-18
                            CK NNX     1.36E+01  1.477E-04  3.22E-16
                            Auger NXY  4.52E-01  2.312E-04  1.68E-17
                            CK OOX     1.45E+00  2.068E-05  4.80E-18
                            Auger OXY  1.10E-02  4.720E-05  8.29E-20
                                                      Total 4.31E-15
Lu-176  3.85E+10 y B+       Auger KLL  1.05E-02  4.453E-02  7.49E-17
