                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L1-M3  1.89E-03  4.427E-03  1.34E-18
                            L1-M4  2.99E-03  4.490E-03  2.15E-18
                            L1-M5  2.82E-05  4.726E-03  2.14E-20
                            L1-N2  4.21E-05  4.739E-03  3.20E-20
                            L1-N3  4.08E-04  5.256E-03  3.44E-19
                            L1-N4  6.60E-04  5.269E-03  5.57E-19
                            L1-N5  3.43E-06  5.347E-03  2.94E-21
                            L1-O2  5.21E-06  5.349E-03  4.47E-21
                            L1-O3  4.64E-05  5.405E-03  4.02E-20
                            L1-03  7.21E-05  5.406E-03  6.24E-20
                            L2-N1  1.96E-08  3.292E-04  1.03E-24
                            L2-N3  1.12E-03  3.982E-03  7.16E-19
                            L2-N4  1.62E-05  4.177E-03  1.09E-20
                            L2-N6  2.09E-02  4.413E-03  1.47E-17
                            L2-O1  1.60E-04  4.896E-03  1.26E-19
                            L2-O3  2.01E-06  4.956E-03  1.59E-21
                            L2-O4  3.11E-03  5.034E-03  2.51E-18
                            L2-P1  1.92E-05  5.080E-03  1.56E-20
                            L2-P3  2.19E-07  5.093E-03  1.79E-22
                            L3-N5  3.92E-03  3.653E-03  2.30E-18
                            L3-N6  2.17E-05  3.785E-03  1.31E-20
                            L3-N7  2.02E-05  3.848E-03  1.24E-20
                            L3-O1  4.01E-03  4.084E-03  2.62E-18
                            L3-O2  3.55E-02  4.097E-03  2.33E-17
                            L3-O3  3.46E-04  4.566E-03  2.53E-19
                            L3-O4  1.91E-06  4.614E-03  1.41E-21
                            L3-O5  1.83E-06  4.627E-03  1.36E-21
                            L3-O6  5.83E-04  4.705E-03  4.39E-19
                            L3-O7  5.20E-03  4.707E-03  3.92E-18
                            L3-P3  4.87E-05  4.751E-03  3.70E-20
                            L3-Q1  2.16E-07  4.762E-03  1.65E-22
                            M1-M2  1.99E-07  4.764E-03  1.52E-22
                            M3-M5  4.48E-03  6.083E-04  4.36E-19
                            M3-N1  1.10E-04  9.225E-05  1.62E-21
                            M3-N5  1.11E+01  1.662E-05  2.94E-17
                                                  Total 3.56E-15
I-130   12.36 h B+          K -L2  4.57E-03  2.945E-02  2.16E-17
                            K -L3  8.47E-03  2.978E-02  4.04E-17
                            K -M2  7.95E-04  3.357E-02  4.27E-18
                            K -M3  1.54E-03  3.363E-02  8.30E-18
                            K -M4  7.84E-06  3.387E-02  4.25E-20
                            K -M5  1.07E-05  3.388E-02  5.81E-20
                            L -M4  1.67E-04  3.440E-02  9.18E-19
                            L -M5  3.25E-04  3.441E-02  1.79E-18
                            K -N2  1.46E-06  3.449E-02  8.07E-21
                            K -N3  1.99E-06  3.449E-02  1.10E-20
                            K -N4  1.71E-05  3.454E-02  9.45E-20
                            K -N5  3.23E-05  3.455E-02  1.79E-19
                            L1-L3  5.85E-08  3.130E-04  2.93E-24
                            L1-M2  1.10E-06  6.422E-04  1.13E-22
                            L1-M3  4.09E-05  4.427E-03  2.90E-20
                            L1-M4  6.45E-05  4.490E-03  4.64E-20
                            L1-M5  6.10E-07  4.726E-03  4.62E-22
                            L1-N2  9.10E-07  4.739E-03  6.91E-22
                            L1-N3  8.82E-06  5.256E-03  7.43E-21
                            L1-N4  1.43E-05  5.269E-03  1.20E-20
                            L1-N5  7.42E-08  5.347E-03  6.35E-23
                            L1-O2  1.13E-07  5.349E-03  9.65E-23
                            L1-O3  1.00E-06  5.405E-03  8.68E-22
                            L1-03  1.56E-06  5.406E-03  1.35E-21
                            L2-N1  4.40E-10  3.292E-04  2.32E-26
                            L2-N3  2.52E-05  3.982E-03  1.61E-20
                            L2-N4  3.64E-07  4.177E-03  2.43E-22
                            L2-N6  4.68E-04  4.413E-03  3.31E-19
                            L2-O1  3.59E-06  4.896E-03  2.82E-21
                            L2-O3  4.50E-08  4.956E-03  3.57E-23
                            L2-O4  6.98E-05  5.034E-03  5.63E-20
                            L2-P1  4.31E-07  5.080E-03  3.51E-22
                            L2-P3  4.91E-09  5.093E-03  4.01E-24
                            L3-N5  8.81E-05  3.653E-03  5.16E-20
                            L3-N6  4.86E-07  3.785E-03  2.95E-22
                            L3-N7  4.53E-07  3.848E-03  2.79E-22
                            L3-O1  9.00E-05  4.084E-03  5.89E-20
                            L3-O2  7.98E-04  4.097E-03  5.24E-19
                            L3-O3  7.76E-06  4.566E-03  5.68E-21
                            L3-O4  4.28E-08  4.614E-03  3.16E-23
                            L3-O5  4.11E-08  4.627E-03  3.04E-23
                            L3-O6  1.31E-05  4.705E-03  9.87E-21
                            L3-O7  1.17E-04  4.707E-03  8.80E-20
                            L3-P3  1.09E-06  4.751E-03  8.32E-22
                            L3-Q1  4.84E-09  4.762E-03  3.69E-24
                            M1-M2  4.47E-09  4.764E-03  3.41E-24
                            M3-M5  1.00E-04  6.082E-04  9.77E-21
                            M3-N1  2.46E-06  9.225E-05  3.63E-23
                            M3-N5  2.47E-01  1.662E-05  6.58E-19
                                                  Total 7.96E-17
I-131   8.0207 d B+         K -L2  1.40E-02  2.945E-02  6.61E-17
                            K -L3  2.59E-02  2.978E-02  1.24E-16
                            K -M2  2.44E-03  3.357E-02  1.31E-17
                            K -M3  4.72E-03  3.363E-02  2.54E-17
                            K -M4  2.40E-05  3.387E-02  1.30E-19
                            K -M5  3.28E-05  3.388E-02  1.78E-19
                            L -M4  5.11E-04  3.440E-02  2.81E-18
                            L -M5  9.96E-04  3.441E-02  5.49E-18
                            K -N2  4.48E-06  3.449E-02  2.47E-20
                            K -N3  6.10E-06  3.449E-02  3.37E-20
                            K -N4  5.23E-05  3.454E-02  2.90E-19
                            K -N5  9.89E-05  3.455E-02  5.48E-19
                            L1-L3  1.82E-07  3.130E-04  9.11E-24
                            L1-M2  3.42E-06  6.422E-04  3.52E-22
                            L1-M3  1.27E-04  4.427E-03  9.02E-20
                            L1-M4  2.00E-04  4.490E-03  1.44E-19
                            L1-M5  1.89E-06  4.726E-03  1.43E-21
                            L1-N2  2.83E-06  4.739E-03  2.15E-21
                            L1-N3  2.74E-05  5.256E-03  2.31E-20
                            L1-N4  4.43E-05  5.269E-03  3.74E-20
                            L1-N5  2.30E-07  5.347E-03  1.97E-22
                            L1-O2  3.50E-07  5.349E-03  3.00E-22
                            L1-O3  3.12E-06  5.405E-03  2.70E-21
                            L1-03  4.84E-06  5.406E-03  4.19E-21
                            L2-N1  1.36E-09  3.292E-04  7.18E-26
                            L2-N3  7.79E-05  3.982E-03  4.97E-20
                            L2-N4  1.13E-06  4.177E-03  7.54E-22
                            L2-N6  1.45E-03  4.413E-03  1.02E-18
                            L2-O1  1.11E-05  4.896E-03  8.72E-21
                            L2-O3  1.39E-07  4.956E-03  1.11E-22
                            L2-O4  2.16E-04  5.034E-03  1.74E-19
                            L2-P1  1.33E-06  5.080E-03  1.09E-21
                            L2-P3  1.52E-08  5.093E-03  1.24E-23
                            L3-N5  2.71E-04  3.653E-03  1.59E-19
                            L3-N6  1.50E-06  3.785E-03  9.07E-22
                            L3-N7  1.39E-06  3.848E-03  8.59E-22
                            L3-O1  2.77E-04  4.084E-03  1.81E-19
                            L3-O2  2.45E-03  4.097E-03  1.61E-18
                            L3-O3  2.39E-05  4.566E-03  1.75E-20
                            L3-O4  1.32E-07  4.614E-03  9.73E-23
                            L3-O5  1.26E-07  4.627E-03  9.37E-23
                            L3-O6  4.03E-05  4.705E-03  3.03E-20
                            L3-O7  3.59E-04  4.707E-03  2.71E-19
                            L3-P3  3.36E-06  4.751E-03  2.56E-21
                            L3-Q1  1.49E-08  4.762E-03  1.14E-23
                            M1-M2  1.37E-08  4.764E-03  1.05E-23
                            M3-M5  3.09E-04  6.083E-04  3.01E-20
                            M3-N1  7.58E-06  9.225E-05  1.12E-22
                            M3-N5  7.63E-01  1.662E-05  2.03E-18
                                                  Total 2.44E-16
I-132   2.295 h B+          K -L2  3.33E-03  2.945E-02  1.57E-17
                            K -L3  6.17E-03  2.978E-02  2.95E-17
                            K -M2  5.79E-04  3.357E-02  3.12E-18
                            K -M3  1.12E-03  3.363E-02  6.05E-18
                            K -M4  5.72E-06  3.387E-02  3.10E-20
                            K -M5  7.81E-06  3.388E-02  4.24E-20
                            L -M4  1.21E-04  3.440E-02  6.70E-19
                            L -M5  2.37E-04  3.441E-02  1.31E-18
                            K -N2  1.07E-06  3.449E-02  5.89E-21
                            K -N3  1.45E-06  3.449E-02  8.03E-21
                            K -N4  1.25E-05  3.454E-02  6.89E-20
                            K -N5  2.35E-05  3.455E-02  1.30E-19
                            L1-L3  4.30E-08  3.130E-04  2.16E-24
                            L1-M2  8.10E-07  6.422E-04  8.33E-23
                            L1-M3  3.01E-05  4.427E-03  2.14E-20
                            L1-M4  4.74E-05  4.490E-03  3.41E-20
                            L1-M5  4.49E-07  4.726E-03  3.40E-22
                            L1-N2  6.70E-07  4.739E-03  5.08E-22
                            L1-N3  6.49E-06  5.256E-03  5.46E-21
                            L1-N4  1.05E-05  5.269E-03  8.86E-21
                            L1-N5  5.46E-08  5.347E-03  4.67E-23
                            L1-O2  8.29E-08  5.349E-03  7.10E-23
                            L1-O3  7.38E-07  5.405E-03  6.39E-22
                            L1-03  1.15E-06  5.406E-03  9.92E-22
                            L2-N1  3.18E-10  3.292E-04  1.68E-26
                            L2-N3  1.82E-05  3.982E-03  1.16E-20
                            L2-N4  2.63E-07  4.177E-03  1.76E-22
                            L2-N6  3.39E-04  4.413E-03  2.39E-19
                            L2-O1  2.60E-06  4.896E-03  2.04E-21
                            L2-O3  3.26E-08  4.956E-03  2.59E-23
                            L2-O4  5.06E-05  5.034E-03  4.08E-20
                            L2-P1  3.12E-07  5.080E-03  2.54E-22
                            L2-P3  3.56E-09  5.093E-03  2.90E-24
                            L3-N5  6.40E-05  3.653E-03  3.75E-20
                            L3-N6  3.53E-07  3.785E-03  2.14E-22
                            L3-N7  3.29E-07  3.848E-03  2.03E-22
                            L3-O1  6.54E-05  4.084E-03  4.28E-20
                            L3-O2  5.80E-04  4.097E-03  3.80E-19
                            L3-O3  5.64E-06  4.566E-03  4.13E-21
                            L3-O4  3.11E-08  4.614E-03  2.30E-23
                            L3-O5  2.98E-08  4.627E-03  2.21E-23
                            L3-O6  9.51E-06  4.705E-03  7.17E-21
                            L3-O7  8.48E-05  4.707E-03  6.40E-20
                            L3-P3  7.94E-07  4.751E-03  6.04E-22
                            L3-Q1  3.52E-09  4.762E-03  2.68E-24
                            M1-M2  3.25E-09  4.764E-03  2.48E-24
                            M3-M5  7.28E-05  6.083E-04  7.10E-21
                            M3-N1  1.78E-06  9.225E-05  2.64E-23
                            M3-N5  1.80E-01  1.662E-05  4.78E-19
                                                  Total 5.80E-17
I-132m  1.387 h B+ IT       K -L2  6.63E-02  2.831E-02  3.01E-16
                            K -L3  1.23E-01  2.861E-02  5.64E-16
                            K -M2  1.14E-02  3.224E-02  5.91E-17
                            K -M3  2.22E-02  3.229E-02  1.15E-16
                            K -M4  1.07E-04  3.252E-02  5.60E-19
                            K -M5  1.47E-04  3.253E-02  7.68E-19
                            L -M4  2.39E-03  3.302E-02  1.26E-17
                            L -M5  4.67E-03  3.303E-02  2.47E-17
                            K -N2  1.91E-05  3.310E-02  1.01E-19
                            K -N3  2.61E-05  3.311E-02  1.38E-19
                            K -N4  1.91E-04  3.315E-02  1.01E-18
                            K -N5  3.57E-04  3.315E-02  1.90E-18
                            L1-L3  1.19E-05  3.044E-04  5.80E-22
                            L1-M2  2.05E-04  6.074E-04  2.00E-20
                            L1-M3  7.83E-03  4.235E-03  5.31E-18
                            L1-M4  1.24E-02  4.292E-03  8.55E-18
                            L1-M5  1.12E-04  4.520E-03  8.11E-20
                            L1-N2  1.67E-04  4.533E-03  1.21E-19
                            L1-N3  1.65E-03  5.016E-03  1.33E-18
                            L1-N4  2.68E-03  5.028E-03  2.16E-18
                            L1-N5  1.31E-05  5.102E-03  1.07E-20
                            L1-O2  1.99E-05  5.104E-03  1.63E-20
                            L1-O3  1.44E-04  5.151E-03  1.19E-19
                            L1-03  2.24E-04  5.152E-03  1.85E-19
                            L2-N1  2.58E-08  3.030E-04  1.25E-24
                            L2-N3  1.78E-03  3.802E-03  1.08E-18
                            L2-N4  2.50E-05  3.988E-03  1.59E-20
                            L2-N6  3.19E-02  4.216E-03  2.15E-17
                            L2-O1  2.45E-04  4.666E-03  1.83E-19
                            L2-O3  2.87E-06  4.723E-03  2.17E-21
                            L2-O4  4.55E-03  4.797E-03  3.50E-18
                            L2-P1  2.77E-05  4.836E-03  2.15E-20
                            L2-P3  2.40E-07  4.848E-03  1.86E-22
                            L3-N5  4.58E-03  3.499E-03  2.57E-18
                            L3-N6  2.48E-05  3.627E-03  1.44E-20
                            L3-N7  2.31E-05  3.685E-03  1.36E-20
                            L3-O1  4.53E-03  3.913E-03  2.84E-18
                            L3-O2  4.02E-02  3.925E-03  2.53E-17
                            L3-O3  3.87E-04  4.363E-03  2.70E-19
                            L3-O4  2.02E-06  4.409E-03  1.43E-21
                            L3-O5  1.94E-06  4.420E-03  1.37E-21
                            L3-O6  6.32E-04  4.494E-03  4.55E-19
                            L3-O7  5.63E-03  4.496E-03  4.05E-18
                            L3-P3  5.14E-05  4.533E-03  3.73E-20
                            L3-Q1  1.76E-07  4.544E-03  1.28E-22
                            M1-M2  1.62E-07  4.545E-03  1.18E-22
                            M3-M5  6.27E-03  5.750E-04  5.78E-19
                            M3-N1  1.67E-04  8.411E-05  2.25E-21
                            M3-N5  1.93E+01  1.526E-05  4.72E-17
                            K -L2  4.84E-03  2.945E-02  2.28E-17
                            K -L3  8.96E-03  2.978E-02  4.28E-17
                            K -M2  8.41E-04  3.357E-02  4.52E-18
                            K -M3  1.63E-03  3.363E-02  8.79E-18
                            K -M4  8.30E-06  3.387E-02  4.50E-20
                            K -M5  1.13E-05  3.388E-02  6.15E-20
                            L -M4  1.76E-04  3.440E-02  9.72E-19
                            L -M5  3.44E-04  3.441E-02  1.90E-18
                            K -N2  1.55E-06  3.449E-02  8.55E-21
                            K -N3  2.11E-06  3.449E-02  1.17E-20
                            K -N4  1.81E-05  3.454E-02  1.00E-19
                            K -N5  3.42E-05  3.455E-02  1.89E-19
                            L1-L3  5.66E-08  3.130E-04  2.84E-24
                            L1-M2  1.06E-06  6.422E-04  1.10E-22
                            L1-M3  3.96E-05  4.427E-03  2.81E-20
                            L1-M4  6.24E-05  4.490E-03  4.49E-20
                            L1-M5  5.90E-07  4.726E-03  4.47E-22
                            L1-N2  8.81E-07  4.739E-03  6.69E-22
                            L1-N3  8.54E-06  5.256E-03  7.19E-21
                            L1-N4  1.38E-05  5.269E-03  1.17E-20
                            L1-N5  7.18E-08  5.347E-03  6.15E-23
                            L1-O2  1.09E-07  5.349E-03  9.34E-23
                            L1-O3  9.70E-07  5.405E-03  8.40E-22
                            L1-03  1.51E-06  5.406E-03  1.31E-21
                            L2-N1  5.29E-10  3.292E-04  2.79E-26
                            L2-N3  3.03E-05  3.982E-03  1.93E-20
                            L2-N4  4.38E-07  4.177E-03  2.93E-22
                            L2-N6  5.63E-04  4.413E-03  3.98E-19
                            L2-O1  4.32E-06  4.896E-03  3.39E-21
                            L2-O3  5.41E-08  4.956E-03  4.30E-23
                            L2-O4  8.40E-05  5.034E-03  6.78E-20
                            L2-P1  5.19E-07  5.080E-03  4.22E-22
                            L2-P3  5.91E-09  5.093E-03  4.83E-24
                            L3-N5  1.01E-04  3.653E-03  5.92E-20
                            L3-N6  5.59E-07  3.785E-03  3.39E-22
                            L3-N7  5.20E-07  3.848E-03  3.21E-22
                            L3-O1  1.03E-04  4.084E-03  6.76E-20
                            L3-O2  9.16E-04  4.097E-03  6.01E-19
                            L3-O3  8.92E-06  4.566E-03  6.52E-21
                            L3-O4  4.92E-08  4.614E-03  3.63E-23
                            L3-O5  4.72E-08  4.627E-03  3.50E-23
                            L3-O6  1.50E-05  4.705E-03  1.13E-20
                            L3-O7  1.34E-04  4.707E-03  1.01E-19
                            L3-P3  1.26E-06  4.751E-03  9.55E-22
                            L3-Q1  5.56E-09  4.762E-03  4.24E-24
                            M1-M2  5.13E-09  4.764E-03  3.92E-24
                            M3-M5  1.15E-04  6.080E-04  1.13E-20
                            M3-N1  2.81E-06  9.225E-05  4.16E-23
                            M3-N5  2.84E-01  1.662E-05  7.55E-19
                                                  Total 1.29E-15
I-133   20.8 h B+           K -L2  1.79E-03  2.945E-02  8.46E-18
                            K -L3  3.32E-03  2.978E-02  1.58E-17
                            K -M2  3.12E-04  3.357E-02  1.68E-18
                            K -M3  6.04E-04  3.363E-02  3.25E-18
                            K -M4  3.07E-06  3.387E-02  1.67E-20
                            K -M5  4.20E-06  3.388E-02  2.28E-20
                            L -M4  6.53E-05  3.440E-02  3.60E-19
                            L -M5  1.27E-04  3.441E-02  7.02E-19
                            K -N2  5.73E-07  3.449E-02  3.17E-21
                            K -N3  7.81E-07  3.449E-02  4.32E-21
                            K -N4  6.70E-06  3.454E-02  3.71E-20
                            K -N5  1.27E-05  3.455E-02  7.01E-20
                            L1-L3  2.29E-08  3.130E-04  1.15E-24
                            L1-M2  4.31E-07  6.422E-04  4.43E-23
                            L1-M3  1.60E-05  4.427E-03  1.14E-20
                            L1-M4  2.52E-05  4.490E-03  1.82E-20
                            L1-M5  2.39E-07  4.726E-03  1.81E-22
                            L1-N2  3.56E-07  4.739E-03  2.71E-22
                            L1-N3  3.45E-06  5.256E-03  2.91E-21
                            L1-N4  5.58E-06  5.269E-03  4.71E-21
                            L1-N5  2.90E-08  5.347E-03  2.49E-23
                            L1-O2  4.41E-08  5.349E-03  3.78E-23
                            L1-O3  3.92E-07  5.405E-03  3.40E-22
                            L1-03  6.09E-07  5.406E-03  5.28E-22
                            L2-N1  1.73E-10  3.292E-04  9.12E-27
                            L2-N3  9.90E-06  3.982E-03  6.31E-21
                            L2-N4  1.43E-07  4.177E-03  9.58E-23
                            L2-N6  1.84E-04  4.413E-03  1.30E-19
                            L2-O1  1.41E-06  4.896E-03  1.11E-21
                            L2-O3  1.77E-08  4.956E-03  1.40E-23
                            L2-O4  2.75E-05  5.034E-03  2.22E-20
                            L2-P1  1.69E-07  5.080E-03  1.38E-22
                            L2-P3  1.93E-09  5.093E-03  1.58E-24
                            L3-N5  3.46E-05  3.653E-03  2.02E-20
                            L3-N6  1.91E-07  3.785E-03  1.16E-22
                            L3-N7  1.78E-07  3.848E-03  1.10E-22
                            L3-O1  3.53E-05  4.084E-03  2.31E-20
                            L3-O2  3.13E-04  4.097E-03  2.06E-19
                            L3-O3  3.05E-06  4.566E-03  2.23E-21
                            L3-O4  1.68E-08  4.614E-03  1.24E-23
                            L3-O5  1.61E-08  4.627E-03  1.20E-23
                            L3-O6  5.14E-06  4.705E-03  3.87E-21
                            L3-O7  4.58E-05  4.707E-03  3.46E-20
                            L3-P3  4.29E-07  4.751E-03  3.27E-22
                            L3-Q1  1.90E-09  4.762E-03  1.45E-24
                            M1-M2  1.76E-09  4.764E-03  1.34E-24
                            M3-M5  3.94E-05  6.082E-04  3.84E-21
                            M3-N1  9.64E-07  9.225E-05  1.43E-23
                            M3-N5  9.71E-02  1.662E-05  2.59E-19
                                                  Total 3.12E-17
I-135   6.57 h B+           K -L2  1.49E-03  2.945E-02  7.03E-18
                            K -L3  2.76E-03  2.978E-02  1.32E-17
                            K -M2  2.59E-04  3.357E-02  1.39E-18
                            K -M3  5.02E-04  3.363E-02  2.71E-18
                            K -M4  2.56E-06  3.387E-02  1.39E-20
                            K -M5  3.49E-06  3.388E-02  1.89E-20
                            L -M4  5.43E-05  3.440E-02  2.99E-19
                            L -M5  1.06E-04  3.441E-02  5.84E-19
                            K -N2  4.77E-07  3.449E-02  2.63E-21
                            K -N3  6.50E-07  3.449E-02  3.59E-21
                            K -N4  5.57E-06  3.454E-02  3.08E-20
                            K -N5  1.05E-05  3.455E-02  5.83E-20
                            L1-L3  1.94E-08  3.130E-04  9.72E-25
                            L1-M2  3.65E-07  6.422E-04  3.75E-23
                            L1-M3  1.36E-05  4.427E-03  9.62E-21
                            L1-M4  2.14E-05  4.490E-03  1.54E-20
                            L1-M5  2.02E-07  4.726E-03  1.53E-22
                            L1-N2  3.02E-07  4.739E-03  2.29E-22
                            L1-N3  2.92E-06  5.256E-03  2.46E-21
                            L1-N4  4.73E-06  5.269E-03  3.99E-21
                            L1-N5  2.46E-08  5.347E-03  2.11E-23
                            L1-O2  3.73E-08  5.349E-03  3.20E-23
                            L1-O3  3.32E-07  5.405E-03  2.88E-22
                            L1-03  5.16E-07  5.406E-03  4.47E-22
                            L2-N1  1.42E-10  3.292E-04  7.51E-27
                            L2-N3  8.15E-06  3.982E-03  5.20E-21
                            L2-N4  1.18E-07  4.177E-03  7.88E-23
                            L2-N6  1.51E-04  4.413E-03  1.07E-19
                            L2-O1  1.16E-06  4.896E-03  9.12E-22
                            L2-O3  1.46E-08  4.956E-03  1.16E-23
                            L2-O4  2.26E-05  5.034E-03  1.82E-20
                            L2-P1  1.39E-07  5.080E-03  1.14E-22
                            L2-P3  1.59E-09  5.093E-03  1.30E-24
                            L3-N5  2.86E-05  3.653E-03  1.68E-20
                            L3-N6  1.58E-07  3.785E-03  9.59E-23
                            L3-N7  1.47E-07  3.848E-03  9.07E-23
                            L3-O1  2.92E-05  4.084E-03  1.91E-20
                            L3-O2  2.59E-04  4.097E-03  1.70E-19
                            L3-O3  2.52E-06  4.566E-03  1.85E-21
                            L3-O4  1.39E-08  4.614E-03  1.03E-23
                            L3-O5  1.33E-08  4.627E-03  9.89E-24
                            L3-O6  4.25E-06  4.705E-03  3.21E-21
                            L3-O7  3.79E-05  4.707E-03  2.86E-20
                            L3-P3  3.55E-07  4.751E-03  2.70E-22
                            L3-Q1  1.57E-09  4.762E-03  1.20E-24
                            M1-M2  1.45E-09  4.764E-03  1.11E-24
                            M3-M5  3.26E-05  6.083E-04  3.18E-21
                            M3-N1  7.99E-07  9.225E-05  1.18E-23
                            M3-N5  8.04E-02  1.662E-05  2.14E-19
                                                  Total 2.59E-17
Xe-122  20.1 h EC           K -L2  2.25E-01  2.831E-02  1.02E-15
                            K -L3  4.17E-01  2.861E-02  1.91E-15
                            K -M2  3.88E-02  3.224E-02  2.00E-16
                            K -M3  7.52E-02  3.229E-02  3.89E-16
                            K -M4  3.64E-04  3.252E-02  1.90E-18
                            K -M5  4.99E-04  3.253E-02  2.60E-18
                            L -M4  8.09E-03  3.302E-02  4.28E-17
                            L -M5  1.58E-02  3.303E-02  8.37E-17
                            K -N2  6.47E-05  3.310E-02  3.43E-19
                            K -N3  8.84E-05  3.311E-02  4.69E-19
                            K -N4  6.47E-04  3.315E-02  3.44E-18
                            K -N5  1.21E-03  3.315E-02  6.43E-18
                            L1-L3  3.36E-06  3.044E-04  1.64E-22
                            L1-M2  5.80E-05  6.074E-04  5.64E-21
                            L1-M3  2.21E-03  4.235E-03  1.50E-18
                            L1-M4  3.51E-03  4.292E-03  2.41E-18
                            L1-M5  3.16E-05  4.520E-03  2.29E-20
                            L1-N2  4.73E-05  4.533E-03  3.43E-20
                            L1-N3  4.66E-04  5.016E-03  3.75E-19
                            L1-N4  7.58E-04  5.028E-03  6.11E-19
                            L1-N5  3.70E-06  5.102E-03  3.03E-21
                            L1-O2  5.62E-06  5.104E-03  4.59E-21
                            L1-O3  4.06E-05  5.151E-03  3.35E-20
                            L1-03  6.34E-05  5.152E-03  5.23E-20
                            L2-N1  1.74E-08  3.030E-04  8.47E-25
                            L2-N3  1.21E-03  3.802E-03  7.35E-19
                            L2-N4  1.69E-05  3.988E-03  1.08E-20
                            L2-N6  2.16E-02  4.216E-03  1.46E-17
                            L2-O1  1.66E-04  4.666E-03  1.24E-19
                            L2-O3  1.94E-06  4.723E-03  1.47E-21
                            L2-O4  3.08E-03  4.797E-03  2.37E-18
                            L2-P1  1.88E-05  4.836E-03  1.45E-20
                            L2-P3  1.62E-07  4.848E-03  1.26E-22
                            L3-N5  4.25E-03  3.499E-03  2.38E-18
                            L3-N6  2.30E-05  3.627E-03  1.34E-20
                            L3-N7  2.14E-05  3.685E-03  1.27E-20
                            L3-O1  4.20E-03  3.913E-03  2.64E-18
                            L3-O2  3.73E-02  3.925E-03  2.34E-17
                            L3-O3  3.59E-04  4.363E-03  2.51E-19
                            L3-O4  1.88E-06  4.409E-03  1.33E-21
                            L3-O5  1.80E-06  4.420E-03  1.27E-21
                            L3-O6  5.86E-04  4.494E-03  4.22E-19
                            L3-O7  5.22E-03  4.496E-03  3.76E-18
                            L3-P3  4.77E-05  4.533E-03  3.46E-20
                            L3-Q1  1.63E-07  4.544E-03  1.19E-22
                            M1-M2  1.50E-07  4.545E-03  1.09E-22
                            M3-M5  4.39E-03  5.703E-04  4.01E-19
                            M3-N1  1.06E-04  8.416E-05  1.43E-21
                            M3-N5  1.29E+01  1.527E-05  3.14E-17
                                                  Total 3.75E-15
Xe-123  2.08 h EC B-        K -L2  2.15E-01  2.831E-02  9.75E-16
                            K -L3  3.99E-01  2.861E-02  1.83E-15
                            K -M2  3.71E-02  3.224E-02  1.92E-16
                            K -M3  7.20E-02  3.229E-02  3.72E-16
                            K -M4  3.48E-04  3.252E-02  1.82E-18
                            K -M5  4.78E-04  3.253E-02  2.49E-18
                            L -M4  7.74E-03  3.302E-02  4.09E-17
                            L -M5  1.51E-02  3.303E-02  8.01E-17
                            K -N2  6.19E-05  3.310E-02  3.28E-19
                            K -N3  8.46E-05  3.311E-02  4.49E-19
                            K -N4  6.19E-04  3.315E-02  3.29E-18
                            K -N5  1.16E-03  3.315E-02  6.16E-18
                            L1-L3  2.98E-06  3.044E-04  1.45E-22
                            L1-M2  5.14E-05  6.074E-04  5.00E-21
                            L1-M3  1.96E-03  4.235E-03  1.33E-18
                            L1-M4  3.11E-03  4.292E-03  2.14E-18
                            L1-M5  2.80E-05  4.520E-03  2.03E-20
                            L1-N2  4.19E-05  4.533E-03  3.04E-20
                            L1-N3  4.13E-04  5.016E-03  3.32E-19
                            L1-N4  6.72E-04  5.028E-03  5.41E-19
                            L1-N5  3.28E-06  5.102E-03  2.68E-21
                            L1-O2  4.98E-06  5.104E-03  4.07E-21
                            L1-O3  3.60E-05  5.151E-03  2.97E-20
                            L1-03  5.62E-05  5.152E-03  4.64E-20
                            L2-N1  1.72E-08  3.030E-04  8.34E-25
                            L2-N3  1.19E-03  3.802E-03  7.24E-19
                            L2-N4  1.66E-05  3.988E-03  1.06E-20
                            L2-N6  2.13E-02  4.216E-03  1.44E-17
                            L2-O1  1.64E-04  4.666E-03  1.22E-19
                            L2-O3  1.91E-06  4.723E-03  1.45E-21
                            L2-O4  3.04E-03  4.797E-03  2.33E-18
                            L2-P1  1.85E-05  4.836E-03  1.43E-20
                            L2-P3  1.60E-07  4.848E-03  1.24E-22
                            L3-N5  4.13E-03  3.499E-03  2.32E-18
                            L3-N6  2.24E-05  3.627E-03  1.30E-20
                            L3-N7  2.09E-05  3.685E-03  1.23E-20
                            L3-O1  4.09E-03  3.913E-03  2.57E-18
                            L3-O2  3.63E-02  3.925E-03  2.28E-17
                            L3-O3  3.49E-04  4.363E-03  2.44E-19
                            L3-O4  1.83E-06  4.409E-03  1.29E-21
                            L3-O5  1.75E-06  4.420E-03  1.24E-21
                            L3-O6  5.70E-04  4.494E-03  4.11E-19
                            L3-O7  5.08E-03  4.496E-03  3.66E-18
                            L3-P3  4.64E-05  4.533E-03  3.37E-20
                            L3-Q1  1.58E-07  4.544E-03  1.15E-22
                            M1-M2  1.46E-07  4.545E-03  1.06E-22
                            M3-M5  4.25E-03  5.700E-04  3.88E-19
                            M3-N1  1.02E-04  8.417E-05  1.38E-21
                            M3-N5  1.24E+01  1.527E-05  3.04E-17
                                                  Total 3.59E-15
