                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L1-M3  1.39E-09  4.001E-04  8.93E-26
                            L1-M4  2.09E-09  4.005E-04  1.34E-25
                            L2-N1  8.33E-17  3.840E-06  5.12E-35
                            L2-N3  1.14E-08  3.059E-04  5.59E-25
                            L2-N4  8.34E-12  3.254E-04  4.35E-28
                            L2-O1  2.42E-10  3.536E-04  1.37E-26
                            L3-N5  2.10E-08  3.020E-04  1.02E-24
                            L3-N6  7.54E-12  3.212E-04  3.88E-28
                            L3-N7  7.40E-12  3.216E-04  3.82E-28
                            L3-O3  4.45E-10  3.497E-04  2.49E-26
                            M3-N5  6.66E-05  3.631E-05  3.88E-22
                                                  Total 1.95E-21
K-43    22.3 h B+           K -L2  3.49E-05  3.656E-03  2.05E-20
                            K -L3  6.89E-05  3.660E-03  4.04E-20
                            K -M2  3.71E-06  3.981E-03  2.37E-21
                            K -M3  7.35E-06  3.981E-03  4.69E-21
                            L1-L3  2.80E-08  7.507E-05  3.37E-25
                            L1-M2  8.29E-08  7.891E-05  1.05E-24
                            L1-M3  6.07E-08  4.001E-04  3.89E-24
                            L1-M4  9.11E-08  4.005E-04  5.84E-24
                            L2-N1  3.62E-15  3.840E-06  2.23E-33
                            L2-N3  4.96E-07  3.059E-04  2.43E-23
                            L2-N4  3.63E-10  3.254E-04  1.89E-26
                            L2-O1  1.05E-08  3.536E-04  5.96E-25
                            L3-N5  9.14E-07  3.020E-04  4.42E-23
                            L3-N6  3.28E-10  3.212E-04  1.69E-26
                            L3-N7  3.22E-10  3.216E-04  1.66E-26
                            L3-O3  1.94E-08  3.497E-04  1.08E-24
                            M3-N5  2.90E-03  3.631E-05  1.69E-20
                                                  Total 8.49E-20
Ca-45   162.67 d B+         K -L2  9.30E-07  4.052E-03  6.04E-22
                            K -L3  1.83E-06  4.057E-03  1.19E-21
                            K -M2  1.03E-07  4.426E-03  7.28E-23
                            K -M3  2.03E-07  4.427E-03  1.44E-22
                            K -M4  3.24E-12  4.459E-03  2.31E-27
                            K -M5  4.77E-12  4.459E-03  3.41E-27
                            L1-L3  5.58E-10  8.061E-05  7.21E-27
                            L1-M2  1.72E-09  8.543E-05  2.36E-26
                            L1-M3  1.88E-09  4.547E-04  1.37E-25
                            L1-M4  2.78E-09  4.552E-04  2.03E-25
                            L1-M5  9.83E-13  4.872E-04  7.67E-29
                            L1-N2  1.47E-12  4.873E-04  1.14E-28
                            L2-N1  1.60E-16  4.820E-06  1.24E-34
                            L2-N3  1.50E-08  3.528E-04  8.50E-25
                            L2-N4  1.38E-11  3.746E-04  8.26E-28
                            L2-N6  8.98E-10  4.066E-04  5.85E-26
                            L2-O1  2.94E-10  4.078E-04  1.92E-26
                            L3-N5  2.78E-08  3.480E-04  1.55E-24
                            L3-N6  1.25E-11  3.693E-04  7.39E-28
                            L3-N7  1.23E-11  3.698E-04  7.27E-28
                            L3-O1  1.23E-10  4.018E-04  7.93E-27
                            L3-O2  1.47E-09  4.018E-04  9.44E-26
                            L3-O3  5.43E-10  4.030E-04  3.51E-26
                            M3-M5  2.33E-11  2.177E-05  8.14E-29
                            M3-N5  1.42E-04  6.754E-06  1.54E-22
                                                  Total 2.17E-21
Ca-47   4.536 d B+          K -L2  4.95E-06  4.052E-03  3.21E-21
                            K -L3  9.76E-06  4.057E-03  6.34E-21
                            K -M2  5.46E-07  4.426E-03  3.88E-22
                            K -M3  1.08E-06  4.427E-03  7.66E-22
                            K -M4  1.72E-11  4.459E-03  1.23E-26
                            K -M5  2.54E-11  4.459E-03  1.81E-26
                            L1-L3  2.78E-09  8.061E-05  3.59E-26
                            L1-M2  8.57E-09  8.543E-05  1.17E-25
                            L1-M3  9.34E-09  4.547E-04  6.80E-25
                            L1-M4  1.38E-08  4.552E-04  1.01E-24
                            L1-M5  4.89E-12  4.872E-04  3.82E-28
                            L1-N2  7.29E-12  4.873E-04  5.69E-28
                            L2-N1  8.27E-16  4.820E-06  6.38E-34
                            L2-N3  7.75E-08  3.528E-04  4.38E-24
                            L2-N4  7.10E-11  3.746E-04  4.26E-27
                            L2-N6  4.63E-09  4.066E-04  3.02E-25
                            L2-O1  1.52E-09  4.078E-04  9.92E-26
                            L3-N5  1.43E-07  3.480E-04  7.97E-24
                            L3-N6  6.42E-11  3.693E-04  3.80E-27
                            L3-N7  6.30E-11  3.698E-04  3.73E-27
                            L3-O1  6.33E-10  4.018E-04  4.07E-26
                            L3-O2  7.53E-09  4.018E-04  4.85E-25
                            L3-O3  2.79E-09  4.030E-04  1.80E-25
                            M3-M5  1.19E-10  2.177E-05  4.15E-28
                            M3-N5  7.29E-04  6.754E-06  7.89E-22
                                                  Total 1.15E-20
Ca-49   8.718 m B+          K -L2  7.40E-07  4.052E-03  4.80E-22
                            K -L3  1.46E-06  4.057E-03  9.48E-22
                            K -M2  8.16E-08  4.426E-03  5.79E-23
                            K -M3  1.61E-07  4.427E-03  1.14E-22
                            K -M4  2.57E-12  4.459E-03  1.84E-27
                            K -M5  3.79E-12  4.459E-03  2.71E-27
                            L1-L3  4.19E-10  8.061E-05  5.41E-27
                            L1-M2  1.29E-09  8.543E-05  1.77E-26
                            L1-M3  1.41E-09  4.547E-04  1.03E-25
                            L1-M4  2.08E-09  4.552E-04  1.52E-25
                            L1-M5  7.37E-13  4.872E-04  5.75E-29
                            L1-N2  1.10E-12  4.873E-04  8.59E-29
                            L2-N1  1.24E-16  4.820E-06  9.55E-35
                            L2-N3  1.16E-08  3.528E-04  6.55E-25
                            L2-N4  1.06E-11  3.746E-04  6.37E-28
                            L2-N6  6.93E-10  4.066E-04  4.51E-26
                            L2-O1  2.27E-10  4.078E-04  1.48E-26
                            L3-N5  2.14E-08  3.480E-04  1.19E-24
                            L3-N6  9.60E-12  3.693E-04  5.68E-28
                            L3-N7  9.42E-12  3.698E-04  5.58E-28
                            L3-O1  9.46E-11  4.018E-04  6.09E-27
                            L3-O2  1.13E-09  4.018E-04  7.25E-26
                            L3-O3  4.17E-10  4.030E-04  2.69E-26
                            M3-M5  1.78E-11  2.177E-05  6.22E-29
                            M3-N5  1.09E-04  6.754E-06  1.18E-22
                                                  Total 1.72E-21
Sc-46   83.79 d B+          K -L2  1.51E-05  4.469E-03  1.08E-20
                            K -L3  2.97E-05  4.475E-03  2.13E-20
                            K -M2  1.71E-06  4.895E-03  1.34E-21
                            K -M3  3.38E-06  4.896E-03  2.65E-21
                            K -M4  1.38E-10  4.932E-03  1.09E-25
                            K -M5  2.03E-10  4.932E-03  1.60E-25
                            L1-L3  5.89E-09  8.622E-05  8.13E-26
                            L1-M2  1.89E-08  9.220E-05  2.80E-25
                            L1-M3  2.98E-08  5.123E-04  2.45E-24
                            L1-M4  4.37E-08  5.130E-04  3.59E-24
                            L1-M5  2.83E-11  5.491E-04  2.49E-27
                            L1-N2  4.22E-11  5.491E-04  3.71E-27
                            L2-N1  3.97E-15  5.980E-06  3.81E-33
                            L2-N3  2.63E-07  4.026E-04  1.69E-23
                            L2-N4  2.96E-10  4.268E-04  2.02E-26
                            L2-N6  2.20E-08  4.628E-04  1.63E-24
                            L2-O1  4.91E-09  4.649E-04  3.66E-25
                            L3-N5  4.85E-07  3.966E-04  3.08E-23
                            L3-N6  2.72E-10  4.201E-04  1.83E-26
                            L3-N7  2.67E-10  4.208E-04  1.80E-26
                            L3-O1  3.14E-09  4.569E-04  2.30E-25
                            L3-O2  3.69E-08  4.569E-04  2.70E-24
                            L3-O3  9.12E-09  4.590E-04  6.71E-25
                            M3-M5  4.99E-10  2.494E-05  1.99E-27
                            M3-N5  1.85E-03  7.996E-06  2.37E-21
                                                  Total 3.85E-20
Sc-47   3.3492 d B+         K -L2  1.82E-04  4.469E-03  1.30E-19
                            K -L3  3.58E-04  4.475E-03  2.57E-19
                            K -M2  2.06E-05  4.895E-03  1.62E-20
                            K -M3  4.07E-05  4.896E-03  3.20E-20
                            K -M4  1.66E-09  4.932E-03  1.31E-24
                            K -M5  2.44E-09  4.932E-03  1.93E-24
                            L1-L3  7.11E-08  8.622E-05  9.82E-25
                            L1-M2  2.28E-07  9.220E-05  3.37E-24
                            L1-M3  3.60E-07  5.123E-04  2.96E-23
                            L1-M4  5.27E-07  5.130E-04  4.33E-23
                            L1-M5  3.42E-10  5.491E-04  3.00E-26
                            L1-N2  5.09E-10  5.491E-04  4.48E-26
                            L2-N1  4.80E-14  5.980E-06  4.60E-32
                            L2-N3  3.17E-06  4.026E-04  2.05E-22
                            L2-N4  3.57E-09  4.268E-04  2.44E-25
                            L2-N6  2.65E-07  4.628E-04  1.97E-23
                            L2-O1  5.94E-08  4.649E-04  4.42E-24
                            L3-N5  5.84E-06  3.966E-04  3.71E-22
                            L3-N6  3.28E-09  4.201E-04  2.21E-25
                            L3-N7  3.22E-09  4.208E-04  2.17E-25
                            L3-O1  3.79E-08  4.569E-04  2.77E-24
                            L3-O2  4.45E-07  4.569E-04  3.26E-23
                            L3-O3  1.10E-07  4.590E-04  8.09E-24
                            M3-M5  6.02E-09  2.494E-05  2.41E-26
                            M3-N5  2.24E-02  7.996E-06  2.86E-20
                                                  Total 4.64E-19
Sc-49   57.2 m B+           K -L2  1.17E-09  4.469E-03  8.41E-25
                            K -L3  2.31E-09  4.475E-03  1.66E-24
                            K -M2  1.33E-10  4.895E-03  1.05E-25
                            K -M3  2.63E-10  4.896E-03  2.07E-25
                            K -M4  1.07E-14  4.932E-03  8.48E-30
                            K -M5  1.58E-14  4.932E-03  1.25E-29
                            L1-L3  4.59E-13  8.622E-05  6.34E-30
                            L1-M2  1.47E-12  9.220E-05  2.18E-29
                            L1-M3  2.32E-12  5.123E-04  1.91E-28
                            L1-M4  3.40E-12  5.130E-04  2.80E-28
                            L1-M5  2.20E-15  5.491E-04  1.94E-31
                            L1-N2  3.29E-15  5.491E-04  2.89E-31
                            L2-N1  3.09E-19  5.980E-06  2.96E-37
