 204-BISMUTH-83          HALFLIFE = 11.22 HOURS   

  MODES OF DECAY: ELECTRON CAPTURE, BETA PLUS
 
                                    MEAN
                                    NUMBER/                  MEV/
                               ID   TRANSFOR-   ENERGY       TRANSFOR-
        TYPE OF RADIATION      NO.  MATION      (MEV)        MATION

 GAMMA-RAY                    223   5.88E-03    1.926E+00    1.13E-02
 GAMMA-RAY                    225   7.86E-03    1.941E+00    1.53E-02
 GAMMA-RAY                    227   3.41E-03    1.957E+00    6.68E-03
 GAMMA-RAY                    228   3.97E-03    1.958E+00    7.77E-03
 GAMMA-RAY                    229   3.73E-03    1.965E+00    7.33E-03
 GAMMA-RAY                    246   2.94E-03    2.263E+00    6.65E-03
 GAMMA-RAY                    262   3.73E-03    2.681E+00    1.00E-02
 GAMMA-RAY                    263   2.70E-03    2.687E+00    7.25E-03
 GAMMA-RAY                    269   2.06E-03    2.837E+00    5.86E-03
 K -L2 X-RAY                        2.71E-01    7.304E-02    1.98E-02
 K -L3 X-RAY                        4.55E-01    7.525E-02    3.42E-02
 K -M3 X-RAY                        9.81E-02    8.524E-02    8.36E-03
 AUGER KLL                          2.29E-02    5.875E-02*   1.35E-03
 AUGER KLX                          1.25E-02    7.071E-02*   8.87E-04
 CK LLX                             2.20E-01    9.421E-04*   2.07E-04
 AUGER LMM                          4.45E-01    8.057E-03*   3.59E-03
 AUGER LMX                          1.97E-01    1.043E-02*   2.06E-03
 AUGER LXY                          2.09E-02    1.284E-02*   2.68E-04
 CK MMX                             6.76E-01    4.246E-04*   2.87E-04
 AUGER MNN                          1.56E+00    1.913E-03*   2.99E-03
 AUGER MNX                          1.95E-01    2.175E-03*   4.25E-04
 CK NNX                             2.96E+00    1.740E-04*   5.15E-04
 AUGER NXY                          5.60E+00    8.242E-05*   4.62E-04
 CK OOX                             3.90E+00    4.218E-05*   1.64E-04
 
 ALL LISTED X-RAYS, GAMMA-RAYS AND ANNIHILATION RADIATION    2.53E+00
 ALL NEGLECTED X-RAYS, GAMMA-RAYS AND ANNIH. RADIATION**     3.88E-01
 ALL LISTED BETAS, INTERNAL CONVERSION AND AUGER ELECTRONS   6.76E-02
 ALL NEGLECTED BETAS, INT. CONVERSION AND AUGER ELECTRONS**  1.31E-02
 ALL LISTED RADIATIONS                                       2.60E+00
 ALL NEGLECTED RADIATIONS**                                  4.01E-01
 
 *  AVERAGE ENERGY (MEV)
 ** EACH NEGLECTED TRANSITION CONTRIBUTES LESS THAN  0.200%
    TO THE TOTAL MEV/TRANSFORMATION FOR THIS CATEGORY.
 TOTAL FEEDING OF 2.185650 MEV ISOMERIC LEVEL IN 204-LEAD        
   DAUGHTER IS 9.8525E-02 PER TRANSFORMATION OF 204-BISMUTH.
   DECAY OF THIS 67.2 MINUTES HALFLIFE LEVEL WILL CONTRIBUTE TO DOSE.
 TOTAL FEEDING OF GROUND STATE LEVEL IN 204-LEAD
   DAUGHTER IS 9.0148E-01 PER TRANSFORMATION OF 204-BISMUTH.
   THIS DAUGHTER GROUND STATE IS STABLE.
